Site,Site Name,Latitude,Longitude,Total Files,Valid Files,All Corrupted,Total Recordings (hours),Positive Detections,High Positive Detections,High Positive Duration (hours),Normalised Duration
5a - Vic park,5a - Victoria park,-43.58775355104886,172.6408196775058,13,10,False,0.0051058796296296295,0,0,0.0,0.0
2f - Ilam fields,2f - Ilam fields,0.0,0.0,32,30,False,29.958333333333332,987,242,0.3527777777777778,0.01177561427909133
3a- Bttle Lake,3a - Bottle lake,-43.47051790341998,172.6845037739127,17,16,False,7.012061574074072,938,345,0.5638888888888889,0.08041699048590417
1d - Mona Vale,1d - Mona Vale,-43.52336137785668,172.6082039298592,53,0,True,0.0,0,0,0.0,0.0
4b - Styx M,4b - Styx Mill,-43.46664520645237,172.6150781764158,36,34,False,0.13733865740740742,0,0,0.0,0.0
8b - Seager,8b - Seager Park,-43.55243221284218,172.590584897325,55,52,False,51.459946736111114,1403,375,0.5791666666666667,0.011254707853404105
3e- Arden Res,3e - Arden reserve,-43.48406274743611,172.7068592656313,58,54,False,2.1401384953703704,78,11,0.022222222222222223,0.0103835439950705
5d - Hansen Park,5d - Hansens park,-43.56054169060223,172.664392507148,36,25,False,24.96527777777778,1651,250,0.33055555555555555,0.013240611961057023
4a - Groynes,4a - The Groynes,-43.45224925965667,172.6048957954002,5,3,False,0.49279495370370374,58,15,0.019444444444444445,0.039457474753557535
9a - NB Redzone,9a - NB Redzone,-43.5118173423702,172.7177681151763,124,1,False,0.8416666666666667,2,0,0.0,0.0
3b- Spencer Prk,3b - Spencer park,-43.43168007984441,172.7062923562252,27,23,False,9.436544074074076,304,54,0.08333333333333333,0.008830916560044795
2a - Ilam Grdns,2a - Ilam Gardens,-43.52440818869302,172.5762147821804,154,31,False,30.655277777777776,2415,504,0.7138888888888889,0.02328763399450883
2d - Fndltn Park,2d - Fendalton park ,-43.51977948713321,172.5920712089386,178,9,False,8.226944444444445,752,348,0.5930555555555556,0.07208697707397778
8d - Glynne,8d - Glyne Reserve,-43.55911677810891,172.6083186426892,55,52,False,50.96041636574074,2254,384,0.4583333333333333,0.00899390872405544
5e - Mt Vernon Track,5e - Mt Vernon track,-43.56982799649153,172.6586478750675,30,30,False,29.958333333333332,1288,301,0.4583333333333333,0.015299026425591099
4c - Barnes Res,4c - Barnes reserve,-43.47305413631239,172.611341020388,8,4,False,0.5241306481481481,83,6,0.0,0.0
4e - Springvale G,4e - Springvale garden,-43.46390660236793,172.5913345403319,5,3,False,0.39632168981481475,23,6,0.008333333333333333,0.021026690053797373
9b - Avonside Redzone,9b -  Avonside Redzone,-43.51888804679406,172.6677485156403,122,0,True,0.0,0,0,0.0,0.0
2e- Ricc Bush,2e - Riccarton Bush,-43.52706960065758,172.5978330374173,32,30,False,29.958333333333332,2231,435,0.5833333333333334,0.019471488178025034
8e - Warren,8e - Warren park,-43.55588984270316,172.5370633931479,56,55,False,52.397762361111106,2308,736,1.1472222222222221,0.02189448882026448
Motukarara,Motukarara,0.0,0.0,11,4,False,1.4510631712962965,72,9,0.013888888888888888,0.009571526011842307
